Use GPU: 0 for training
-> using alexnet
Epoch: [0][   0/3615]	Time 18.506 (18.506)	Data 12.900 (12.900)	Loss 6.9078e+00 (6.9078e+00)	Acc@1   0.00 (  0.00)	Acc@5   0.39 (  0.39)
Epoch: [0][  10/3615]	Time  0.248 ( 3.185)	Data  0.209 ( 2.629)	Loss 6.9095e+00 (6.9077e+00)	Acc@1   0.00 (  0.18)	Acc@5   0.39 (  0.67)
Epoch: [0][  20/3615]	Time 10.676 ( 3.293)	Data 10.635 ( 2.980)	Loss 6.9095e+00 (6.9080e+00)	Acc@1   0.00 (  0.15)	Acc@5   0.39 (  0.73)
Epoch: [0][  30/3615]	Time  1.026 ( 2.983)	Data  0.990 ( 2.758)	Loss 6.9056e+00 (6.9080e+00)	Acc@1   0.39 (  0.15)	Acc@5   0.78 (  0.71)
Epoch: [0][  40/3615]	Time 10.061 ( 3.051)	Data 10.018 ( 2.872)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.00 (  0.66)
Epoch: [0][  50/3615]	Time  0.742 ( 2.916)	Data  0.702 ( 2.762)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   0.00 (  0.67)
Epoch: [0][  60/3615]	Time 10.847 ( 3.009)	Data 10.811 ( 2.874)	Loss 6.9095e+00 (6.9083e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.39 (  0.70)
Epoch: [0][  70/3615]	Time  0.071 ( 2.930)	Data  0.000 ( 2.807)	Loss 6.9095e+00 (6.9085e+00)	Acc@1   0.00 (  0.10)	Acc@5   0.39 (  0.70)
Epoch: [0][  80/3615]	Time  9.294 ( 2.967)	Data  9.257 ( 2.854)	Loss 6.9056e+00 (6.9084e+00)	Acc@1   0.39 (  0.11)	Acc@5   0.78 (  0.68)
Epoch: [0][  90/3615]	Time  0.145 ( 2.925)	Data  0.109 ( 2.819)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   1.17 (  0.68)
Epoch: [0][ 100/3615]	Time 10.229 ( 2.972)	Data 10.194 ( 2.872)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   0.00 (  0.70)
Epoch: [0][ 110/3615]	Time  0.794 ( 2.937)	Data  0.757 ( 2.842)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   0.00 (  0.70)
Epoch: [0][ 120/3615]	Time  8.660 ( 2.963)	Data  8.621 ( 2.872)	Loss 6.9056e+00 (6.9083e+00)	Acc@1   0.39 (  0.11)	Acc@5   0.78 (  0.68)
Epoch: [0][ 130/3615]	Time  0.287 ( 2.930)	Data  0.250 ( 2.842)	Loss 6.9095e+00 (6.9083e+00)	Acc@1   0.00 (  0.12)	Acc@5   1.17 (  0.69)
Epoch: [0][ 140/3615]	Time  9.395 ( 2.957)	Data  9.358 ( 2.872)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   0.00 (  0.69)
Epoch: [0][ 150/3615]	Time  2.462 ( 2.931)	Data  2.424 ( 2.849)	Loss 6.9095e+00 (6.9084e+00)	Acc@1   0.00 (  0.11)	Acc@5   1.56 (  0.70)
Epoch: [0][ 160/3615]	Time  7.442 ( 2.931)	Data  7.402 ( 2.852)	Loss 6.9056e+00 (6.9083e+00)	Acc@1   0.39 (  0.12)	Acc@5   0.78 (  0.69)
Epoch: [0][ 170/3615]	Time  1.161 ( 2.906)	Data  1.118 ( 2.829)	Loss 6.9095e+00 (6.9083e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.78 (  0.69)
Epoch: [0][ 180/3615]	Time  7.568 ( 2.909)	Data  7.532 ( 2.833)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.00 (  0.69)
Epoch: [0][ 190/3615]	Time  0.167 ( 2.896)	Data  0.130 ( 2.821)	Loss 6.9056e+00 (6.9082e+00)	Acc@1   0.39 (  0.12)	Acc@5   1.95 (  0.70)
Epoch: [0][ 200/3615]	Time  8.296 ( 2.904)	Data  8.260 ( 2.831)	Loss 6.9095e+00 (6.9083e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.39 (  0.70)
Epoch: [0][ 210/3615]	Time  1.379 ( 2.885)	Data  1.338 ( 2.813)	Loss 6.9095e+00 (6.9083e+00)	Acc@1   0.00 (  0.12)	Acc@5   0.00 (  0.70)
Epoch: [0][ 220/3615]	Time  7.167 ( 2.889)	Data  7.127 ( 2.818)	Loss 6.9017e+00 (6.9083e+00)	Acc@1   0.78 (  0.12)	Acc@5   0.78 (  0.70)
Epoch: [0][ 230/3615]	Time  1.094 ( 2.873)	Data  1.058 ( 2.803)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.71)
Epoch: [0][ 240/3615]	Time  7.141 ( 2.876)	Data  7.102 ( 2.808)	Loss 6.9056e+00 (6.9082e+00)	Acc@1   0.39 (  0.13)	Acc@5   1.17 (  0.70)
Epoch: [0][ 250/3615]	Time  1.598 ( 2.864)	Data  1.562 ( 2.796)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.00 (  0.70)
Epoch: [0][ 260/3615]	Time  6.906 ( 2.866)	Data  6.867 ( 2.800)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.70)
Epoch: [0][ 270/3615]	Time  1.262 ( 2.860)	Data  1.225 ( 2.794)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.12)	Acc@5   1.17 (  0.69)
Epoch: [0][ 280/3615]	Time  7.344 ( 2.865)	Data  7.306 ( 2.800)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.70)
Epoch: [0][ 290/3615]	Time  1.263 ( 2.863)	Data  1.225 ( 2.799)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   0.39 (  0.71)
Epoch: [0][ 300/3615]	Time  6.411 ( 2.868)	Data  6.376 ( 2.804)	Loss 6.9056e+00 (6.9082e+00)	Acc@1   0.39 (  0.13)	Acc@5   0.78 (  0.70)
Epoch: [0][ 310/3615]	Time  0.914 ( 2.862)	Data  0.877 ( 2.799)	Loss 6.9095e+00 (6.9082e+00)	Acc@1   0.00 (  0.13)	Acc@5   1.17 (  0.70)
